Player,Team,Cost
Ederson,Man City,€46.2M
Scott Carson,Man City,€0.2M
Stefan Ortega,Man City,€2.1M
Josh Wilson-Esbrand,Man City,€5.3M
Kyle Walker,Man City,€20.5M
Rico Lewis,Man City,€36.1M
John Stones,Man City,€28.3M
Josko Gvardiol,Man City,€65M
Manuel Akanji,Man City,€51.5M
Nathan Aké,Man City,€24.5M
Rúben Dias,Man City,€70.5M
Matheus Nunes,Man City,€22.5M
James McAtee,Man City,€7.4M
Phil Foden,Man City,€116.1M
İlkay Gündoğan,Man City,€20.7M
Kevin De Bruyne,Man City,€34.8M
Jack Grealish,Man City,€35.6M
Bernardo Silva,Man City,€62.3M
Mateo Kovacic,Man City,€31.7M
Rodri,Man City,€100.4M
Oscar Bobb,Man City,€9M
Erling Haaland,Man City,€149.3M
Jérémy Doku,Man City,€46.8M
Sávio,Man City,€46M
Neto,Arsenal,€3.3M
David Raya,Arsenal,€23M
Karl Hein,Arsenal,€0.4M
Ben White,Arsenal,€53M
Jakub Kiwior,Arsenal,€18.9M
Kieran Tierney,Arsenal,€20M
Takehiro Tomiyasu,Arsenal,€16M
Gabriel Magalhães,Arsenal,€48.3M
Jurrien Timber,Arsenal,€38.7M
Riccardo Calafiori,Arsenal,€36.2M
William Saliba,Arsenal,€79.5M
Oleksandr Zinchenko,Arsenal,€29.1M
James Lannin-Sweet,Arsenal,
Mikel Merino,Arsenal,€29M
Martin Ødegaard,Arsenal,€73.2M
Declan Rice,Arsenal,€69.1M
Jorginho,Arsenal,€7.7M
Thomas Partey,Arsenal,€5M
Eddie Nketiah,Arsenal,€28M
Gabriel Jesus,Arsenal,€51.1M
Kai Havertz,Arsenal,€95M
Gabriel Martinelli,Arsenal,€64.6M
Raheem Sterling,Arsenal,€46.1M
Bukayo Saka,Arsenal,€117.5M
Leandro Trossard,Arsenal,€24.5M
Caoimhín Kelleher,Liverpool,€6.5M
Vitezslav Jaros,Liverpool,€90K
Alisson,Liverpool,€28.6M
Andrew Robertson,Liverpool,€33.7M
Jarell Quansah,Liverpool,€8.7M
Joe Gomez,Liverpool,€21.3M
Konstantinos Tsimikas,Liverpool,€6.2M
Trent Alexander-Arnold,Liverpool,€28.1M
Ibrahima Konaté,Liverpool,€26.5M
Virgil van Dijk,Liverpool,€19.7M
Conor Bradley,Liverpool,€7.2M
Curtis Jones,Liverpool,€19.1M
Wataru Endo,Liverpool,€15.3M
Dominik Szoboszlai,Liverpool,€49.5M
Harvey Elliott,Liverpool,€32.3M
Ryan Gravenberch,Liverpool,€40.2M
Alexis Mac Allister,Liverpool,€54.2M
Darwin Núñez,Liverpool,€55.2M
Diogo Jota,Liverpool,€34M
Luis Díaz,Liverpool,€50.7M
Mohamed Salah,Liverpool,€28.1M
Cody Gakpo,Liverpool,€43.2M
Federico Chiesa,Liverpool,€29.6M
Emiliano Martínez,Aston Villa,€33.9M
Robin Olsen,Aston Villa,€0.8M
Joe Gauci,Aston Villa,€1.0M
Kortney Hause,Aston Villa,€0.8M
Kosta Nedeljkovic,Aston Villa,€6.9M
Lucas Digne,Aston Villa,€7.6M
Matty Cash,Aston Villa,€24.3M
Ian Maatsen,Aston Villa,€49.6M
Tyrone Mings,Aston Villa,€14.9M
Diego Carlos,Aston Villa,€4.5M
Ezri Konsa,Aston Villa,€39.5M
Pau Torres,Aston Villa,€38.3M
